Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2018-01-02,180.16151428222656,180.32040802242759,176.3183647528784,176.4474526579683,18151900
2018-01-03,183.38897705078125,183.49821460754387,180.07214964063118,180.61833742444432,16886600
2018-01-04,183.05130004882812,184.9182632912654,182.8228998073401,183.6173380652008,13880900
2018-01-05,185.55386352539062,185.60350456264763,183.64716886176097,184.3025942053248,13574500
2018-01-08,186.97393798828125,187.58963232302543,185.03746777985856,185.90142791447593,17994700
2018-01-09,186.5667724609375,187.4903290863987,185.80212473195056,187.3910167084553,12393100
2018-01-10,186.53697204589844,186.58662823227942,184.3423110455009,185.64322130280325,10529900
2018-01-11,186.46746826171875,187.09308772995047,186.0801742469312,187.09308772995047,9588600
2018-01-12,178.125732421875,180.22109627514337,176.16939680353218,176.8248221194416,77551300
2018-01-16,177.15255737304688,180.48925058979296,176.8049791649292,180.24098477054977,36183800
2018-01-17,176.36802673339844,178.07609661430618,174.58050997978083,178.0165000950676,27992400
2018-01-18,178.55274963378906,179.72455682640532,175.85161677104932,176.8943360637807,23304900
2018-01-19,180.03240966796875,181.1049196756431,178.92018380205798,179.59547461560447,26826500
2018-01-22,184.0841064453125,184.10397195061574,179.15852183596283,179.54581584820178,21059500
2018-01-23,188.03652954101562,188.23513915735595,184.26288621877998,184.759417836102,25678800
2018-01-24,185.25595092773438,189.3374414607203,185.22616024269337,188.5727785211352,24334500
2018-01-25,186.17947387695312,187.31156525428196,185.30558861478383,186.64621476657425,17377700
2018-01-26,188.68199157714844,188.68199157714844,185.51411782040898,186.44759957162958,17759200
2018-01-29,184.6898651123047,187.5300260924177,184.3423021303279,187.4406540530185,20453200
2018-01-30,185.82199096679688,186.87463559002103,180.5786182056083,186.31852259306808,20858600
2018-01-31,185.5935821533203,188.5131904064215,183.93516841595468,187.06331145688196,43275100
2018-02-01,191.7505645751953,193.96510636268923,186.5866391024852,186.9143517681629,54211300
2018-02-02,188.96005249023438,192.862798498052,188.66213051855547,190.70783815624117,26677500
2018-02-05,180.0026092529297,189.28775515477489,179.35712430913944,185.63327512405218,33128200
2018-02-06,184.02455139160156,184.48136716124057,176.5070703477728,177.33131467687733,37758500
2018-02-07,178.93008422851562,183.7961020246825,178.7016839811318,182.87254555431855,27601900
2018-02-08,170.38978576660156,180.57860874905867,170.29047338537103,179.7543644742594,38478300
2018-02-09,174.88833618164062,175.67284933210118,166.02027517231002,173.54769498885972,39887600
2018-02-12,175.18624877929688,176.31834000166157,170.64794356188276,175.83173367295765,32092100
2018-02-13,171.9488525390625,174.74929747491998,171.8992115113702,174.40171936344075,21809400
2018-02-14,178.2747039794922,178.56268563062287,172.00847782030428,172.24680328249755,28929700
2018-02-15,178.711669921875,179.24791741193448,175.61330226427154,179.24791741193448,20922100
2018-02-16,176.12966918945312,178.63219240402876,175.07702474485308,177.7483668653608,20645300
2018-02-20,174.78904724121094,176.7155922611635,173.89529642819502,174.55072177264233,21204900
2018-02-21,176.6758575439453,180.01255012425395,175.17632258385274,175.4841848694651,23200800
2018-02-22,177.7483673095703,178.95990548734832,176.17932581453093,177.46037052883577,18464200
2018-02-23,182.01853942871094,182.11785180561444,178.2647619064659,178.65205593168352,19007300
2018-02-26,183.6471710205078,184.37211806945996,181.9490414275169,183.29960799091424,17599700
2018-02-27,180.2012481689453,183.4187631181771,180.2012481689453,183.1704973275047,15849800
2018-02-28,177.08303833007812,181.61140412912914,176.90427907330402,181.03542565076677,18783000
2018-03-01,174.7195587158203,178.8705560195238,173.20017308523572,177.76825515488954,23201600
2018-03-02,175.3948211669922,175.88142760012752,171.7900119803472,172.0879188241625,20025900
2018-03-05,179.14859008789062,179.89338746655915,174.66988063922287,174.97772779793522,16189300
2018-03-06,178.5328826904297,181.1148528084916,177.86753223258503,180.51900888803414,15086800
2018-03-07,182.4356231689453,182.54486071271018,176.83474806296604,177.50009850119213,19097300
2018-03-08,181.07513427734375,183.12084197738199,180.1913086646202,182.28667255360858,17225900
2018-03-09,183.945068359375,184.22312480696067,181.9390918664985,182.63423298546263,18526300
2018-03-12,183.4783477783203,184.80906395645638,182.94210032813234,183.94508868540132,15301200
2018-03-13,180.61830139160156,184.69979088484433,179.85363864681122,184.32242209986805,18067500
2018-03-14,182.9123077392578,182.97188910499779,180.58854355775105,181.33334093538332,16821700
2018-03-15,182.5845947265625,182.7236229640044,180.92618105388345,181.9689004111685,15614300
2018-03-16,183.80604553222656,184.04438613127203,182.13770679772932,183.21021676402341,24403400
2018-03-19,171.36294555664062,175.9409665046272,168.880288104434,175.78207279098072,88140100
2018-03-20,166.98355102539062,169.01933337222877,160.82656295317332,166.30827540365547,129851800
2018-03-21,168.2149658203125,172.19714358368446,162.16721489336666,163.65680961347792,106598800
2018-03-22,163.7461700439453,169.08885424334605,162.5842880630345,164.97757371360785,73743000
2018-03-23,158.28433227539062,165.44432413670978,157.91690376486022,164.29236726490421,53609700
2018-03-26,158.94969177246094,159.98248597574425,147.98628082177376,159.70442949476993,126116600
2018-03-27,151.16404724121094,161.72031151261882,149.70424345597235,155.2256711715699,79117000
2018-03-28,151.96847534179688,154.798711803412,149.75394842919079,150.59804314106407,60029200
2018-03-29,158.68154907226562,160.300246804713,153.07074851269897,154.07373680754304,59434300
2018-04-02,154.3120880126953,158.0956563304711,153.04096834564575,156.71529910674033,36796000
2018-04-03,155.02708435058594,156.29820393261704,149.7638467812387,155.4640345480855,42543900
2018-04-04,154.0240936279297,154.48089417052745,149.46592246029974,150.97538262253934,49885600
2018-04-05,158.23468017578125,160.4492219312727,155.56333785263115,160.43928160179667,41449600
2018-04-06,156.10952758789062,160.30025538543117,155.7222335569777,156.63584985674814,41644800
2018-04-09,156.83445739746094,159.4164276715436,154.95756863342757,156.72523499681546,34915200
2018-04-10,163.8951416015625,164.82862342116601,155.92084542771616,156.83446174076977,57889300
2018-04-11,165.16624450683594,167.4800679492693,162.1175338405284,164.2128973648911,56144600
2018-04-12,162.73324584960938,166.2884135769194,161.96859817036977,165.82167270624564,38263000
2018-04-13,163.3787384033203,164.5505455373332,162.6339411104661,163.4383197622783,19990600
2018-04-16,163.6865997314453,164.63000668700911,162.25658638059696,164.57042532288062,18119400
2018-04-17,167.4900360107422,167.8276738480501,164.51084653414958,164.67966545280353,22743000
2018-04-18,165.20599365234375,166.9537794197021,164.62009000426215,165.72239075633624,20969600
2018-04-19,166.9339141845703,167.16231445613354,164.05402208532334,165.04708519135187,22235000
2018-04-20,165.1265411376953,167.26162087187814,164.65980023996286,166.62606105519114,19119400
2018-04-23,164.68959045410156,167.281485902097,163.94479308574589,166.10967864929586,23088100
2018-04-24,158.58226013183594,164.94779869185714,157.09266537598995,164.28243303299078,35079900
2018-04-25,158.58226013183594,159.94275182656736,155.10653903486195,159.02913552800146,41083600
2018-04-26,172.95188903808594,175.047252977902,169.61519610911205,172.01840721376857,77556900
2018-04-27,172.38583374023438,175.87149519912316,171.4027108901409,175.58349839134146,29804700
2018-04-30,170.80685424804688,174.50105021494917,170.5188726145736,172.58443054066007,20750500
2018-05-01,172.65396118164062,172.8128549235581,169.0491370707119,170.80686310243846,26025900
2018-05-02,174.8486328125,176.84468425148097,172.99159445285136,173.04125064000766,30424500
2018-05-03,172.8128662109375,174.89828988628537,170.92603699654595,173.91516699395788,24026100
2018-05-04,175.38487243652344,175.7523009298466,171.85949544637512,171.87936095094238,17677800
2018-05-07,176.73544311523438,178.25482846315865,175.94098959567398,176.11974883522183,18697200
2018-05-08,177.67884826660156,177.79801098981687,175.8814064777154,177.01349780708208,15577200
2018-05-09,181.39292907714844,181.7404921079287,177.5398389839887,178.42366463234376,23282800
2018-05-10,184.24298095703125,184.83882483042896,181.23400121754494,181.87948611960985,21071400
2018-05-11,185.69287109375,187.0136468107041,182.9023511058294,183.56771670512563,21207800
